OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_7749	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	91.806	90
OTU_7750	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	96.386	98
OTU_7751	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	98.960	92
OTU_7752	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides	Fungi	93.638	86
OTU_7753	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	96.891	98
OTU_7754	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	98.416	100
OTU_7755	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	97.228	89
OTU_7756	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.104	100
OTU_7757	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	94.847	90
OTU_7758	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Parasitella	Parasitella quercicola	Fungi	97.198	89
OTU_7759	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor racemosus	Fungi	92.058	95
OTU_7760	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			0	0
OTU_7761	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			0	0
OTU_7762	Fungi								0	0
OTU_7763	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	92.870	93
OTU_7764	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	96.713	98
OTU_7765	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	99.267	93
OTU_7766	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	96.007	98
OTU_7767	Fungi	Parasitella quercicola							0	0
OTU_7768	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	96.386	98
OTU_7769	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	98.138	91
OTU_7770	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	99.632	93
OTU_7771	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	98.540	93
OTU_7772	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	90.323	94
OTU_7773	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	97.396	98
OTU_7774	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor racemosus	Fungi	99.826	98
OTU_7775	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	98.545	93
OTU_7776	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	98.346	93
OTU_7777	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.030	99
OTU_7778	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	98.727	93
OTU_7779	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Waltergamsia	Waltergamsia pilosa		0	0
OTU_7780	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Myrotheciomycetaceae	Trichothecium	Trichothecium roseum	Fungi	97.642	91
OTU_7781	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides	Fungi	95.733	93
OTU_7782	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides	Fungi	94.353	93
OTU_7783	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	92.030	100
OTU_7784	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Eukaryota_kgd_Incertae_sedis	99.448	93
OTU_7785	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma atroviride	Fungi	99.064	96
OTU_7786	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	94.403	99
OTU_7787	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	93.256	96
OTU_7788	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	95.896	100
OTU_7789	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium			0	0
OTU_7790	Fungi	Ascomycota							0	0
OTU_7791	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces			0	0
OTU_7792	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae			Fungi	92.764	100
OTU_7793	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	94.805	85
OTU_7794	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	97.727	90
OTU_7795	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium aquadulcis	Fungi	96.283	99
OTU_7796	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Fungi	95.329	87
OTU_7797	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.255	100
OTU_7798	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	98.760	92
OTU_7799	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	97.938	92
OTU_7800	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma			0	0
OTU_7801	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.552	92
OTU_7802	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium ferraniaense	Fungi	98.305	100
OTU_7803	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	98.354	92
OTU_7804	Fungi	Ascomycota	Dothideomycetes						0	0
OTU_7805	Fungi	Ascomycota	Orbiliomycetes	Orbiliales				Fungi	92.126	93
OTU_7806	Fungi							Viridiplantae	97.742	94
OTU_7807	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia		Fungi	98.807	91
OTU_7808	Fungi	Basidiomycota	Agaricomycetes					Viridiplantae	99.678	94
OTU_7809	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium		Fungi	97.317	96
OTU_7810	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium	Rachicladosporium cboliae	Fungi	99.795	93
