Timestamp	Sample prefix	Sample number	Sample_name_desc	Collector	Broad-scope substrate	Lat-Long	Sample description	Item (sink, toilet, P-trap, etc.) 	Volume	Column 9	Sample description	Flow rate (LPM)	Sampling time (min)	Sample description	Plant species	Sampling method	Organs sampled	Site description	Sampling method	Sampling area (cm^2)	Substrate description	Substrate description 	Depth minimum (cm)	Depth maximum (cm)	Vegetation	Material
1/17/2025 15:26:27	NC25	107	PW_WALL_DRY-1	Andrew Jones	Built surface	35°36′47″ N  82°19′12″ W													Swab		Stair wall					Drywall
1/17/2025 16:47:00	NC25	108	PW_GLASS_INT-1	Andrew Jones	Built surface	35°37′26″ N  82°19′47″ W													Swab	Rockey	Interior glass					Glass
1/17/2025 15:20:45	NC25	109	PW_GLASS_STORED-1	Andrew Jones	Built surface	35°36′48″ N  82°19′14″ W													Swab	Rockey	Stored glass 					Glass
1/17/2025 18:34:16	NC25	110	PW_CEILINGTILE-1	Vesper Fraunfelter	Built surface	35°36′47.7″N, 82°19′12.8″W													Swab	10	Ceiling tile top (fiberglass product)					Fiberglass
1/17/2025 18:39:06	NC25	111	PW_CINDERBLOCK_FLOOD-1	Vesper Fraunfelter	Built surface	35°36′47.2″N, 82°19′15.4″W													Swab	10	Cinderblock (flooded)					Concrete
1/17/2025 18:40:27	NC25	112	PW_METAL_DRAIN_FLOOD-1	Vesper Fraunfelter	Built surface	35°36′46.5″N, 82°19′15.4″W													Swab		Metal lid to drain pipe; inside of lid. Wet.					Metal
1/17/2025 16:32:14	NC25	113	GLF_PTRAP-1	Andrew Jones	Built surface	35°37′25″ N  82°19′47″ W													Swab		Inside ptrap					Plastic
1/17/2025 16:33:43	NC25	114	GLF_DOOR_INT-1	Andrew Jones	Built surface	35°37′25″ N  82°19′47″ W													Swab	Rockey 	Interior door					Unknown
1/17/2025 16:33:29	NC25	115	GLF_MOLD-1	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab		Black mold					
1/17/2025 16:44:38	NC25	116	GLF_DOOR_INT-2	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab		Inside door near unit golf course					
1/17/2025 16:45:44	NC25	117	GLF_MOLD-2	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab		Pink fungus on door inside golf course near unit, below flood libr					
1/17/2025 16:34:09	NC25	118	GLF_MOLD-3	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab		Fuzzy mold whitish low on wall					
1/17/2025 16:32:29	NC25	119	GLF_MOLD-4	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab	One spot	Yellow mold					
1/17/2025 18:44:05	NC25	120	GLF_WOOD_MOLDY-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall with fuzzy white growth					Wood
1/17/2025 16:46:29	NC25	121	GLF_MOLD-5	Erica Washington	Built surface	35°37′25″ N  82°19′49″ W													Swab		Pink fungus door inside door in golf unit					
1/17/2025 18:45:09	NC25	122	GLF_WOOD_MOLDY-2	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall, multicolored growth (directly above sample NC25-120)					Wood
1/17/2025 18:49:26	NC25	123	GLF_WOOD_MOLDY-3	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall with large green splotches					Wood
1/17/2025 18:46:07	NC25	124	GLF_WOOD_MOLDY-4	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall, multicolored growth by front door					Wood
1/17/2025 18:47:05	NC25	125	GLF_WOOD_MOLDY-5	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall, multicolor growth 					Wood
1/17/2025 18:50:09	NC25	126	GLF_METAL_MUDDY-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Sheet metal wall below flood line, covered with chunks of dirt					Metal
1/17/2025 18:47:59	NC25	127	GLF_WOOD_MOLDY-6	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood(?) panel by front door, multicolored growth more intense than surrounding wall					Wood
1/17/2025 18:48:37	NC25	128	GLF_METAL_DRY-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Steel beam					Metal
1/17/2025 18:51:29	NC25	129	GLF_WOOD_OILY_MOLDY-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Wood wall with suspected oil/grease patch, white growth					Wood
1/17/2025 18:53:38	NC25	130	GLF_METAL_EXT-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab		Sheet metal wall with green growth, outside of building					Metal
1/17/2025 18:52:21	NC25	131	GLF_CLOTH_MOLDY-1	Vesper Fraunfelter	Built surface	35.6236240, -82.3302575													Swab	10	Cloth wall covering insulation, multicolored growth					Cloth
1/17/2025 18:07:41	NC25	145	VP_SINK_DRAIN_INT-1	Andrew Jones	Built surface	35°36′29″ N  82°20′13″ W													Swab		Interior sink drain					Metal
1/17/2025 19:02:19	NC25	154	VP_WOOD_MOLDY-1	Vesper Fraunfelter	Built surface	35.6081050, -82.3381995													Swab		Plywood wall, dark green spots					Wood
