Timestamp	Sample prefix	Sample number	Sample_name_desc	Collector	Broad-scope substrate	Lat-Long	Sample description	"Item (sink, toilet, P-trap, etc.) "	Volume	Column 9	Sample description	Flow rate (LPM)	Sampling time (min)	Sample description	Plant species	Sampling method	Organs sampled	Site description	Sampling method	Sampling area (cm^2)	Substrate description	Substrate description 	Depth minimum (cm)	Depth maximum (cm)	Vegetation	Material	SourceSink	SourceSinkID
1/17/2025 16:34	NC25	118	GLF_MOLD-3	Erica Washington	Built surface	35°37?25? N  82°19?49? W													Swab		Fuzzy mold whitish low on wall						Sink	2
1/17/2025 16:32	NC25	119	GLF_MOLD-4	Erica Washington	Built surface	35°37?25? N  82°19?49? W													Swab	One spot	Yellow mold						Sink	2
1/17/2025 18:44	NC25	120	GLF_WOOD_MOLDY-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	Wood wall with fuzzy white growth					Wood	Sink	2
1/17/2025 16:46	NC25	121	GLF_MOLD-5	Erica Washington	Built surface	35°37?25? N  82°19?49? W													Swab		Pink fungus door inside door in golf unit						Sink	2
1/17/2025 18:45	NC25	122	GLF_WOOD_MOLDY-2	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Wood wall, multicolored growth (directly above sample NC25-120)"					Wood	Sink	2
1/17/2025 18:49	NC25	123	GLF_WOOD_MOLDY-3	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	Wood wall with large green splotches					Wood	Sink	2
1/17/2025 18:46	NC25	124	GLF_WOOD_MOLDY-4	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Wood wall, multicolored growth by front door"					Wood	Sink	2
1/17/2025 18:47	NC25	125	GLF_WOOD_MOLDY-5	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Wood wall, multicolor growth "					Wood	Sink	2
1/17/2025 18:50	NC25	126	GLF_METAL_MUDDY-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Sheet metal wall below flood line, covered with chunks of dirt"					Metal	Sink	2
1/17/2025 18:47	NC25	127	GLF_WOOD_MOLDY-6	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Wood(?) panel by front door, multicolored growth more intense than surrounding wall"					Wood	Sink	2
1/17/2025 18:48	NC25	128	GLF_METAL_DRY-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	Steel beam					Metal	Sink	2
1/17/2025 18:51	NC25	129	GLF_WOOD_OILY_MOLDY-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Wood wall with suspected oil/grease patch, white growth"					Wood	Sink	2
1/17/2025 18:53	NC25	130	GLF_METAL_EXT-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab		"Sheet metal wall with green growth, outside of building"					Metal	Sink	2
1/17/2025 18:52	NC25	131	GLF_CLOTH_MOLDY-1	Vesper Fraunfelter	Built surface	"35.6236240, -82.3302575"													Swab	10	"Cloth wall covering insulation, multicolored growth"					Cloth	Sink	2
1/17/2025 18:07	NC25	145	VP_SINK_DRAIN_INT-1	Andrew Jones	Built surface	35°36?29? N  82°20?13? W													Swab		Interior sink drain					Metal	Sink	3
1/17/2025 19:02	NC25	154	VP_WOOD_MOLDY-1	Vesper Fraunfelter	Built surface	"35.6081050, -82.3381995"													Swab		"Plywood wall, dark green spots"					Wood	Sink	3
1/17/2025 18:10	NC25	158	VP_WOOD_FLOOD-1	Vesper Fraunfelter	Built surface	"35.6084815, -82.3371505"													Swab	100	Flooded wood beam					Wood	Sink	3
1/17/2025 18:13	NC25	167	VP_PAPER_MUDDY-1	Vesper Fraunfelter	Built surface	"35.6084815, -82.3371505"													Swab	50	"Cardboard box in cabinet, dry, layer of dust/mud."					Paper	Sink	3
1/17/2025 19:03	NC25	172	VP_PVC_FLOOD-1	Vesper Fraunfelter	Built surface	"35.6081050, -82.3381995"													Swab		"PVC pipe, outer"					Plastic	Sink	3
1/17/2025 18:12	NC25	176	VP_METAL_DRY-1	Andrew Jones	Built surface	35°36?29? N  82°20?13? W													Swab		Second floor concession stand vertical beam					Metal	Sink	3
1/17/2025 18:08	NC25	180	VP_CINDERBLOCK_DRY-1	Vesper Fraunfelter	Built surface	"35.6084815, -82.3371505"													Swab	100	"Cinderblock wall inside concession stand, 8ft above ground, inside, possible mold"					Concrete	Sink	3
1/17/2025 18:05	NC25	202	VP_MUD_OUTSIDE-1	Erica Washington	Indoor mud	35°36?31? N  82°20?14? W								Mud outside concession 												Soil	Source	3
