Name,Lat-Lon
PW_DWNSTRM_36M_RIVERDIST_57M_BARK_DRY-1,"35.61314,-82.32259"
PW_UPSTRM_0M_RIVERDIST_10M_12CM,"35.6122,-82.32121"
PW_DWNSTRM_36M_RIVERDIST_57M_BARK_FLOOD-1,"35.61314,-82.32259"
PW_PAPER_DOCS-1,"35.61309,-82.32053"
GLF_INSULATION-1,35°37′26″ N  82°19′47″ W
PW_AIR_ATTIC-1,35°36′47″ N  82°19′12″ W
PW_PAPER_DOCS-2,"35.61309,-82.32053"
VP_TOLIET_LID_MUDDY-1,"35.6081050, -82.3381995"
PW_WATER_KTCH_SINK-1,35°36′48″ N  82°19′12″ W
PW_WATER_PTRAP-1,35°37′25″ N  82°19′47″ W
VP_MUD_TOLIET-2,35°36′29″ N  82°20′13″ W
VP_MUD_SINK-1,35°36′29″ N  82°20′13″ W
